doctor_id,doctor_name,doctor_email,doctor_phone,qualification,years_of_experience,fees,target,doctor_date_of_joining,staff_id
D129,Samyr Dalvi,samyrdalvi@gmail.com,1234567890,MD,15,4000,45,2009-05-07,S001
D322,Amit Thakar,amitthakar@gmail.com,2468013579,MBBS,3,1000,50,2022-01-30,S003
D748,Deepal Joshi,deepaljoshi@gmail.com,1357924680,BSc Psychology,4,900,50,2020-12-11,S008
D009,Amol Shah,amolshah@gmail.com,1234509876,BSc Audiology,3,650,45,2021-02-05,S011
D774,Sakshi Sinha,sakshisinha@gmail.com,9087612345,MPT Pediatrics,10,3000,60,2019-09-30,S001
D193,Deepali Bhoite,deepalibhoite@gmail.com,5432167890,MD,9,2700,20,2015-10-07,S012
D123,Neha Naik,nehanaik@gmail.com,6789054321,MD,11,3100,55,2014-07-28,S011
D337,Akash Arora,akasharora@gmail.com,9183639204,MPT Pediatrics,13,3500,45,2010-06-19,S001
D928,Himangi Patel,himangipatel@gmail.com,2839103829,BSc Audiology,7,2500,20,2017-08-25,S003
D372,Suresh Singh,sureshsingh@gmail.com,1386399629,MBBS,5,2000,15,2017-01-12,S003
D320,Dipti Ahuja,diptiahuja@gmail.com,2938193290,MBBS,12,2400,25,2023-01-11,S011
D540,Ronak Singhania,ronaksinghania@gmail.com,7492938342,MPT Pediatrics,9,1900,20,2018-04-04,S012
D760,Vijay Agarwal,vijayagarwal@gmail.com,9023874231,MD,12,3000,20,2013-08-07,S001
D900,Annirudh Seth,annirudhseth@gmail.com,8239482932,BSc Psychology,6,1500,40,2019-09-21,S012
D849,Simran Grover,simrangrover@gmail.com,9572895934,MPT Pediatrics,9,2700,25,2016-03-31,S011
D200,Ruchika Shah,ruchikashah@gmail.com,2840024993,MD,10,2900,30,2014-04-12,S003
